balance_assets_accounts_receivables,balance_assets_cash_deposits,balance_assets_inventories,balance_assets_investments,balance_assets_land_building,balance_assets_other_assets,balance_assets_other_tangible,balance_assets_total,balance_funds_endowment,balance_funds_liabilities_total,balance_funds_restricted,balance_funds_total,balance_funds_unrestricted,balance_liabilities_current,balance_liabilities_non_current,balance_liabilities_total,capital_in_nature,category_id,expenses_charitable_local,expenses_charitable_overseas,expenses_charitable_total,expenses_fund_raising,expenses_others_total,expenses_total,financial_period,financial_status,index,name,other_info_donation_other_charities,other_info_fund_raising_efficiency_ratio,other_info_no_of_employees,other_info_total_employee_costs,other_info_total_related_party_transactions,primary_sector,receipts_donation_cash_non_tax_deductible,receipts_donation_cash_tax_deductible,receipts_donation_cash_total,receipts_donation_kind_non_tax_deductible,receipts_donation_kind_tax_deductible,receipts_donation_kind_total,receipts_government_grants,receipts_investment_income,receipts_others_income,receipts_programme_fees,receipts_total,sub_setor,uen
0,"5,000",0,0,0,0,0,"5,000",0,"5,000",0,"5,000","5,000",0,0,0,0,10,"2,805",0,"2,805",0,"1,342","4,147",Apr 2014 - Mar 2015,Received,fy3,CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"5,000","5,000",0,0,0,0,0,0,0,"5,000",North West,T07CC2006F
0,"1,471,559",0,0,0,0,0,"1,471,559",0,"1,471,559",0,"1,471,559","1,471,559",0,0,0,"42,000",10,"378,157",0,"378,157",0,"1,137","379,294",Apr 2016 - Mar 2017,Received,fy1,CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"10,296","263,005","273,301",0,0,0,"22,704","17,419","59,479",0,"372,903",North West,T03CC1661B
0,"1,480,050",0,0,0,0,0,"1,480,050",0,"1,480,050","10,000","1,477,950","1,467,950","2,100",0,"2,100","119,000",10,"441,515",0,"441,515",0,"3,557","445,072",Apr 2015 - Mar 2016,Received,fy2,CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,100,0,0,0,Community,"18,803","601,987","620,790",0,0,0,"16,193",0,0,0,"636,983",North West,T03CC1661B
0,"1,279,433",0,0,0,0,0,"1,279,433",0,"1,279,433",0,"1,279,433","1,279,433",0,0,0,0,10,"266,111",0,"266,111",0,"6,065","272,176",Apr 2014 - Mar 2015,Received,fy3,CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,123,0,0,0,Community,"10,091","317,629","327,720",0,0,0,838,0,"7,270",0,"335,828",North West,T03CC1661B
0,"106,601",0,0,0,0,0,"106,601",0,"106,601",0,"105,351","105,351","1,250",0,"1,250",0,10,"15,300",0,"15,300",0,"1,349",0,Apr 2015 - Mar 2016,Received,fy2,GAMBAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"117,000","117,000",0,0,0,0,0,"5,000",0,0,North West,T16CC0001J
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,fy3,GAMBAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,-,0,0,-,0,0,0,0,0,0,North West,T16CC0001J
0,"651,900",0,0,0,"6,080",0,"657,980",0,"657,980",0,"656,730","656,730","1,250",0,"1,250",0,10,"121,005",0,"121,005",0,"5,253","126,258",Apr 2016 - Mar 2017,Received,fy1,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"12,300","54,700","67,000",0,0,0,0,"7,638","13,481",0,"88,119",North West,S86CC0397J
0,"691,736",0,0,0,"4,383",0,"696,119",0,"696,119",0,"694,869","694,869","1,250",0,"1,250",0,10,"131,693",0,"143,142",0,"75,322","207,015",Apr 2015 - Mar 2016,Received,fy2,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"18,030","6,200","24,230",0,0,0,"27,744","5,496","218,172","5,658","281,300",North West,S86CC0397J
0,"618,104",0,0,0,"6,020",0,"624,124",0,"624,124",0,"620,584","620,584","3,540",0,"3,540",0,10,"143,142",0,"143,142",0,"8,439","151,581",Apr 2014 - Mar 2015,Received,fy3,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"13,640","31,000","44,640","52,368",0,"52,368","80,732","2,606",250,"1,200","181,796",North West,S86CC0397J
0,"92,790",0,0,0,0,0,"92,790",0,"92,790",0,"90,990","90,990","1,800",0,0,0,10,"101,896",0,"101,896",0,"3,156",0,0,0,fy3,Limbang CCC CDWF,0,0,0,0,0,Community,0,"196,000","196,000",0,0,0,0,42,0,0,0,North West,T16CC0002E
0,"855,629",0,0,0,0,0,"855,629",0,"855,629",0,"853,129","853,129","2,500",0,"2,500",0,10,"93,855",0,"93,855",0,"45,940","139,795",Apr 2016 - Mar 2017,Received,fy1,MARSILING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"3,787","550,867","554,654",0,0,0,0,0,17,0,"554,671",North West,T07CC2016L
0,"440,753",0,0,0,0,0,"440,753",0,"440,753","145,613","438,253","292,640","2,500",0,"2,500",0,10,"84,871",0,"84,871",0,"32,141","117,012",Apr 2015 - Mar 2016,Received,fy2,MARSILING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"11,520","161,636","173,156",0,0,0,0,0,40,0,"173,196",North West,T07CC2016L
0,"389,053",0,0,0,0,452,"389,505",0,"389,505",0,"382,069","382,069","7,436",0,"7,436","31,700",10,"91,708",0,"91,708",0,"21,266","112,974",Apr 2014 - Mar 2015,Received,fy3,MARSILING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"31,700","31,700",0,0,0,0,0,0,0,"31,700",North West,T07CC2016L
0,"1,862,150",0,0,0,"105,750",0,"1,967,900",0,"1,967,900",0,"1,934,410","1,934,410","33,490",0,"33,490",0,10,"382,008",0,"382,008",0,"3,789","385,797",Apr 2016 - Mar 2017,Received,fy1,NEE SOON SOUTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"50,000","1,125,830","1,175,830",0,0,0,0,"6,054","105,085",0,"1,286,969",North West,S88CC0604C
0,"985,378",0,0,0,"50,000",0,"1,035,378",0,"1,035,378",0,"1,033,238","1,033,238","2,140",0,"2,140",0,10,"235,157",0,"235,157","278,602","16,589","530,348",Apr 2015 - Mar 2016,Received,fy2,NEE SOON SOUTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,44,0,0,0,Community,"13,045","468,956","482,001",0,0,0,0,0,"148,525",0,"630,526",North West,S88CC0604C
0,"1,020,924",0,0,0,0,0,"1,020,924",0,"1,020,924",0,"933,060","933,060","87,864",0,"87,864",0,10,"281,038",0,"281,038","172,439","20,371","473,848",Apr 2014 - Mar 2015,Received,fy3,NEE SOON SOUTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,13.84,0,0,0,Community,"50,000","438,208","488,208",0,0,0,"10,091",0,"1,945",0,"500,244",North West,S88CC0604C
0,"451,317",0,0,0,0,0,"451,317",0,"451,317",0,"451,317","451,317",0,0,0,0,10,"19,580",0,"19,580",0,"4,888","24,468",Apr 2016 - Mar 2017,Received,fy1,SEMBAWANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"3,750","35,000","38,750",0,0,0,0,"6,318",0,0,"45,068",North West,T06CC1941B
0,"134,405",0,"300,000",0,0,0,"434,405",0,"434,405",0,"430,717","430,717","3,688",0,"3,688",0,10,"98,100",0,"98,100",0,"6,121","104,221",Apr 2015 - Mar 2016,Received,fy2,SEMBAWANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"14,743","4,000","18,743",0,0,0,0,0,0,0,"18,743",North West,T06CC1941B
0,"218,578",0,"300,000",0,0,0,"518,578",0,"518,578",0,"516,178","516,178","2,400",0,"2,400",0,10,"32,775",0,"32,775",0,"4,663","37,438",Apr 2014 - Mar 2015,Received,fy3,SEMBAWANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"6,720","10,000","16,720",0,0,0,0,0,0,0,"16,720",North West,T06CC1941B
0,"570,900",0,0,0,0,0,"570,900",0,"570,900",0,"561,050","561,050","9,850",0,"9,850",0,10,"53,373",0,"53,373",0,"10,682","64,055",Apr 2016 - Mar 2017,Received,fy1,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,540,"518,500","519,040",0,0,0,0,0,0,0,"519,040",North West,S86CC0308D
"1,040","113,626",0,0,0,0,0,"114,666",0,"114,666",0,"106,066","106,066","8,600",0,"8,600",0,10,0,0,0,0,"55,929","55,929",Apr 2015 - Mar 2016,Received,fy2,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,500,0,500,0,0,0,0,0,0,0,500,North West,S86CC0308D
"9,888","185,747",0,0,0,0,0,"195,635",0,"195,635",0,"194,435","194,435","1,200",0,"1,200",0,10,"36,983",0,"36,983",0,"15,732","52,715",Apr 2014 - Mar 2015,Received,fy3,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"1,436","5,463","6,899",0,0,0,"2,273",0,0,0,"9,172",North West,S86CC0308D
0,"74,994",0,0,0,0,0,"74,994",0,"74,994",0,"73,744","73,744","1,250",0,"1,250",0,10,"132,816",0,"132,816",0,"2,378","135,194",Apr 2016 - Mar 2017,Received,fy1,Woodgrove CCC CDWF,0,0,0,0,0,Community,0,"115,000","115,000",0,0,0,0,2,"65,569",0,"180,571",North West,T11CC0004E
0,"29,617",0,0,0,0,0,"29,617",0,"29,617",0,"28,367","28,367","1,250",0,"1,250",0,10,"179,623",0,"179,623",0,"12,539","192,162",Apr 2015 - Mar 2016,Received,fy2,Woodgrove CCC CDWF,0,0,0,0,0,Community,"10,000","40,000","50,000",0,0,0,"9,588",0,"78,572",0,"138,160",North West,T11CC0004E
0,"83,439",0,0,0,0,0,"83,439",0,"83,439",0,"82,369","82,369","1,070",0,"1,070",0,10,"120,919",0,"120,919",0,"2,131","123,050",Apr 2014 - Mar 2015,Received,fy3,Woodgrove CCC CDWF,0,0,0,0,0,Community,550,0,550,0,"49,008","49,008","67,531",0,"37,250",0,"154,339",North West,T11CC0004E
0,"829,310",0,0,0,"9,000",0,"838,310",0,"838,310",0,"836,810","836,810","1,500",0,"1,500",0,10,"64,653",0,"64,653",0,"5,226","69,879",Apr 2016 - Mar 2017,Received,fy1,YEW TEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"5,000","259,100","264,100",0,0,0,0,"1,253","1,000",0,"266,353",North West,S97CC1249F
"36,550","605,286",0,0,0,0,0,"641,836",0,"641,836",0,"640,336","640,336","1,500",0,"1,500",0,10,"102,158",0,"102,158",0,"64,940","167,098",Apr 2015 - Mar 2016,Received,fy2,YEW TEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"29,029","113,707","113,709",0,0,0,0,627,0,0,"143,363",North West,S97CC1249F
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"124,832",0,"124,832",0,"10,423","135,255",Apr 2014 - Mar 2015,Received,fy3,YEW TEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"10,048","87,145","97,193",0,0,0,"92,880","2,371",0,0,"192,444",North West,S97CC1249F
0,"133,736",0,0,0,0,0,"133,736",0,"133,736",0,"131,117","131,117","2,619",0,"2,619",0,10,"21,411",0,"21,411",0,"1,777","23,188",Apr 2016 - Mar 2017,Received,fy1,ZHENGHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,0,0,0,0,0,"1,601",80,290,0,"1,971",North West,T04CC1763A
0,"154,953",0,0,0,0,0,"154,953",0,"154,953",0,"152,334","152,334","2,619",0,"2,619",0,10,"127,860",0,"127,860",0,0,"127,860",Apr 2015 - Mar 2016,Received,fy2,ZHENGHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"12,000","30,000","42,000",0,0,0,"43,103",0,60,0,"85,163",North West,T04CC1763A
0,"197,650",0,0,0,0,0,"197,650",0,"197,650",0,"195,031","195,031","2,619",0,"2,619",0,10,"50,995",0,"50,995",0,"1,290","52,285",Apr 2014 - Mar 2015,Received,fy3,ZHENGHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"6,000",0,"6,000",0,0,0,"7,600",949,0,0,"14,549",North West,T04CC1763A
0,"475,704",0,0,0,0,0,"475,704",0,"475,704",0,"474,304","474,304","1,400",0,"1,400",0,11,"56,159",0,"56,159",0,"1,966","58,125",Apr 2016 - Mar 2017,Received,fy1,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"5,300","5,300",0,0,0,22,0,0,0,"5,322",Central,T00CC1416D
480,"528,027",0,0,0,0,0,"528,507",0,"528,507",0,"527,107","527,107","1,400",0,"1,400",0,11,"235,385",0,"235,385",0,"1,455","236,840",Apr 2015 - Mar 2016,Received,fy2,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,300,"373,322","373,622",0,0,0,"9,573",0,2,0,"383,197",Central,T00CC1416D
"1,280","380,870",0,0,0,0,0,"382,150",0,"382,150",0,"380,750","380,750","1,400",0,"1,400",0,11,"193,248",0,"193,248",0,0,"193,248",Apr 2014 - Mar 2015,Late,fy3,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,300,"88,703","89,003",0,0,0,"32,735",0,0,0,"121,738",Central,T00CC1416D
0,"238,417",0,"3,110,823",0,585,0,"3,349,825",0,"3,349,825",0,"3,348,025","3,348,025","1,800",0,"1,800",0,11,"481,172",0,"481,172",0,"6,945","488,117",Apr 2016 - Mar 2017,Received,fy1,Bishan East-Thomson CCC Community Development and Welfare Fund,0,0,0,0,0,Community,"5,041","135,083","140,124",0,0,0,0,"95,573","10,585",0,"246,282",Central,S92CC0922L
0,"478,689",0,"3,037,846",0,"1,948",0,"3,518,483",0,"3,518,483","257,826","3,516,883","3,259,057","1,600",0,"1,600",0,11,"248,042",0,"248,042","155,965","155,933","559,940",Apr 2015 - Mar 2016,Received,fy2,Bishan East-Thomson CCC Community Development and Welfare Fund,0,100,0,0,0,Community,0,"128,332","128,332",0,0,0,"8,252","94,000","165,016",0,"395,600",Central,S92CC0922L
0,"644,977",0,"3,004,678",0,0,0,"3,649,655",0,"3,649,655",0,"3,648,055","3,648,055","1,600",0,"1,600",0,11,"430,432",0,"430,432",0,0,"430,432",Apr 2014 - Mar 2015,Received,fy3,Bishan East-Thomson CCC Community Development and Welfare Fund,0,0,0,0,0,Community,0,"144,297","144,297",0,0,0,"55,531","94,000",150,0,"293,978",Central,S92CC0922L
0,"623,763",0,0,0,0,0,"623,763",0,"623,763",0,"622,263","622,263","1,500",0,"1,500",0,11,"36,686",0,"36,686",0,"1,777","38,463",Apr 2016 - Mar 2017,Received,fy1,BISHAN NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"6,000","78,000","84,000",0,0,0,0,124,0,0,"84,124",Central,T05CC1908D
0,"577,902",0,0,0,0,0,"577,902",0,"577,902",0,"576,602","576,602","1,300",0,"1,300",0,11,"336,801",0,"336,801",0,0,"336,801",Apr 2015 - Mar 2016,Received,fy2,BISHAN NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"10,500","315,000","325,500",0,0,0,"62,709",0,125,0,"388,334",Central,T05CC1908D
0,"526,469",0,0,0,0,0,"526,469",0,"526,469",0,"525,069","525,069","1,400",0,"1,400",0,11,"64,832",0,"64,832",0,0,"64,832",Apr 2014 - Mar 2015,Received,fy3,BISHAN NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"30,000","159,088","189,088",0,0,0,0,0,124,0,"189,212",Central,T05CC1908D
0,"12,933",0,0,0,0,0,"12,933",0,"12,933",0,"11,833","11,833","1,100",0,"1,100",0,11,800,0,800,0,"2,268","3,068",Apr 2016 - Mar 2017,Received,fy1,BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"3,000","3,000",0,0,0,0,0,"1,754",0,"4,754",Central,S91CC0827F
0,"11,217",0,0,0,0,0,"11,217",0,"11,217",0,"10,147","10,147","1,070",0,"1,070",0,11,"57,850",0,"57,850",0,"1,288","59,138",Apr 2015 - Mar 2016,Received,fy2,BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"2,000","2,000",0,0,0,"1,351",0,585,0,"3,936",Central,S91CC0827F
0,"66,312",0,0,0,0,0,"66,312",0,"66,312",0,"65,349","65,349",963,0,963,0,11,"4,632",0,"4,632",0,"1,130","5,762",Apr 2014 - Mar 2015,Received,fy3,BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,0,0,0,0,0,"3,202",0,"1,926",0,"5,128",Central,S91CC0827F
0,"721,174",0,0,0,0,0,"721,174",0,"721,174",0,"719,274","719,274","1,900",0,"1,900",0,11,"172,901",0,"172,901",0,"3,753","176,654",Apr 2016 - Mar 2017,Received,fy1,CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"3,000","75,277","78,277",0,0,0,0,"8,697",0,0,"86,974",Central,S86CC0356D
0,"507,015",0,"303,839",0,0,0,"810,854",0,"810,854",0,"810,854","810,854",0,0,0,"372,893",11,"148,378",0,"148,378",0,0,"148,378",Apr 2015 - Mar 2016,Received,fy2,CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"237,502","131,700","369,202",0,0,0,0,"4,245",0,0,"372,893",Central,S86CC0356D
0,"248,944",0,"315,818",0,0,0,"564,762",0,"564,762",0,"564,762","564,762",0,0,0,"127,160",11,"318,809",0,"318,809",0,0,"318,809",Apr 2014 - Mar 2015,Received,fy3,CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"133,918","253,776","387,694",0,0,0,0,"3,691",0,0,"391,385",Central,S86CC0356D
0,"488,981",0,0,0,0,0,"488,981",0,"488,981",0,"488,981","488,981",0,0,0,0,11,"166,357",0,"166,357",0,"9,936","176,293",Apr 2016 - Mar 2017,Received,fy1,Henderson-Dawson CCC Community Development and Welfare Fund,0,0,0,0,0,Community,"19,096","240,121","259,217",0,0,0,"10,970",187,"10,159",0,"280,533",Central,T02CC1588K
0,0,0,0,0,"384,741",0,"384,741",0,"384,741",0,"384,741","384,741",0,0,0,0,11,"343,278",0,"343,278",0,"4,772","348,050",Apr 2015 - Mar 2016,Received,fy2,Henderson-Dawson CCC Community Development and Welfare Fund,0,0,0,0,0,Community,"17,443","260,649","278,092",0,0,0,"5,260",187,"27,127",0,"310,666",Central,T02CC1588K
"10,527","411,598",0,0,0,0,0,"422,125",0,"422,125",0,"422,125","422,125",0,0,0,0,11,"374,191",0,"374,191",0,"4,972","379,163",Apr 2014 - Mar 2015,Received,fy3,Henderson-Dawson CCC Community Development and Welfare Fund,0,0,0,0,0,Community,"10,187","309,726","319,913",0,0,0,"7,031",187,"40,756",0,"367,887",Central,T02CC1588K
0,"741,428",0,0,0,0,0,"741,428",0,"741,428",0,"739,328","739,328","2,100",0,"2,100",0,11,"106,288",0,"106,288",0,"6,404","112,692",Apr 2016 - Mar 2017,Received,fy1,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,116,"77,000","77,116",0,0,0,0,0,"23,600",0,"100,716",Central,S87CC0436A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,"26,081","214,203","240,284",Apr 2015 - Mar 2016,Received,fy2,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"213,922","175,200","389,122",0,0,0,"98,657",0,0,0,"487,779",Central,S87CC0436A
0,"388,065",0,0,0,0,0,"388,065",0,"388,065",0,"386,065","386,065","2,000",0,"2,000",0,11,0,0,0,"225,491",0,"225,491",Apr 2014 - Mar 2015,Received,fy3,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"39,300","51,885","91,185",0,0,0,"102,568",0,0,0,"193,753",Central,S87CC0436A
0,"758,216",0,0,0,0,0,"758,216",0,"758,216",0,"758,216","758,216",0,0,0,0,11,"132,240",0,"132,240",0,"1,612","133,852",Apr 2016 - Mar 2017,Received,fy1,KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,0,"319,690","319,690",0,0,0,0,0,"6,955",0,"326,645",Central,S89CC0678E
0,"565,423",0,0,0,0,0,"565,423",0,"565,423",0,"565,423","565,423",0,0,0,"334,656",11,"490,534",0,"490,534",0,0,"490,534",Apr 2015 - Mar 2016,Received,fy2,KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"9,875","324,512","334,387",0,0,0,0,0,269,0,"334,656",Central,S89CC0678E
185,"722,016",0,0,0,0,0,"722,201",0,"722,201",0,"721,301","721,301",900,0,900,0,11,"325,561",0,"325,561",0,0,"325,561",Apr 2014 - Mar 2015,Received,fy3,KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"1,000","496,886","497,886",0,0,0,0,0,"2,940",0,"500,826",Central,S89CC0678E
0,"1,048,744",0,0,0,0,0,"1,048,744",0,"1,048,744",0,"1,047,494","1,047,494","1,250",0,"1,250",0,11,"386,049",0,"388,934","2,885","3,806","392,740",Apr 2016 - Mar 2017,Received,fy1,POTONG PASIR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"22,150","68,600","90,750",0,0,0,0,"15,067","6,689",0,"112,506",Central,T06CC1973J
0,"1,329,028",0,0,0,0,0,"1,329,028",0,"1,329,028",0,"1,327,728","1,327,728","1,300",0,"1,300",0,11,"583,201",0,"583,201",0,0,"583,201",Apr 2015 - Mar 2016,Received,fy2,POTONG PASIR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,"1,329,028",0,0,0,0,Community,0,"237,667","237,667",0,0,0,0,"11,955","189,118",0,"438,740",Central,T06CC1973J
0,"1,473,589",0,0,0,0,0,"1,473,589",0,"1,473,589",0,"1,472,189","1,472,189","1,400",0,"1,400",0,11,"654,458",0,"654,458",0,0,"654,458",Apr 2014 - Mar 2015,Received,fy3,POTONG PASIR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,"1,473,589",0,0,0,0,Community,0,"546,562","546,562",0,0,0,"219,800","11,022","30,000",0,"807,384",Central,T06CC1973J
0,"423,596",0,0,0,0,0,"423,596",0,"423,596",0,"421,596","421,596","2,000",0,"2,000",0,11,"205,011",0,"205,011",0,"2,604","207,615",Apr 2016 - Mar 2017,Received,fy1,QUEENSTOWN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"25,191","251,068","276,259",0,0,0,0,107,0,0,"276,366",Central,S89CC0668L
0,"354,495",0,0,0,0,0,"354,495",0,"354,495",0,"352,845","352,845","1,650",0,"1,650",0,11,"402,699",0,"402,699",0,"5,454","408,153",Apr 2015 - Mar 2016,Received,fy2,QUEENSTOWN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"15,992","623,746","639,738",0,0,0,0,0,0,0,"639,738",Central,S89CC0668L
0,"131,352",0,0,0,0,0,"131,352",0,"131,352",0,"121,142","121,142","10,210",0,"10,210",0,11,"368,129",0,"368,129",0,"63,022","431,151",Apr 2014 - Mar 2015,Received,fy3,QUEENSTOWN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"20,301","74,603","94,904",0,0,0,0,78,"63,963",0,"158,945",Central,S89CC0668L
0,"186,535",0,0,0,0,0,"186,535",0,"186,535",0,"184,335","184,335","2,200",0,"2,200",0,11,"228,221",0,"228,221",0,"10,550","238,771",Apr 2016 - Mar 2017,Received,fy1,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"17,800","269,312","287,112",0,0,0,0,0,"13,365",0,"300,477",Central,S86CC0339D
0,"142,471",0,0,0,"36,467",0,"178,938",0,"178,938",0,"177,996","177,996",942,0,942,0,11,"280,957",0,"280,957",0,"7,527","288,484",Apr 2015 - Mar 2016,Received,fy2,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"48,889","231,996","280,885",0,0,0,"58,066",0,"5,264",0,"344,215",Central,S86CC0339D
0,"124,178",0,0,0,0,0,"124,178",0,"124,178",0,0,0,"1,913","122,265","124,178","151,375",11,"240,951",0,"240,951",0,0,"240,951",Apr 2014 - Mar 2015,Received,fy3,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0.53,0,0,0,Community,"14,100","137,275","151,375",0,0,0,"115,109",0,0,0,"266,484",Central,S86CC0339D
0,"206,185",0,0,0,0,0,"206,185",0,"206,185",0,"200,635","200,635","5,550",0,"5,550",0,11,"38,409",0,"38,409",0,"6,582","44,991",Apr 2016 - Mar 2017,Received,fy1,Sengkang South CCC Community Development and Welfare Fund,0,0,0,0,0,Community,0,"11,000","11,000",0,0,0,0,6,0,0,"11,006",Central,S99CC1387B
0,"235,870",0,0,0,0,0,"235,870",0,"235,870",0,"234,620","234,620","1,250",0,"1,250",0,11,"29,956",0,"29,956",0,"12,335","42,291",Apr 2015 - Mar 2016,Received,fy2,Sengkang South CCC Community Development and Welfare Fund,0,0,0,0,0,Community,0,"136,394","136,394",0,0,0,0,13,0,0,"136,407",Central,S99CC1387B
0,"136,504",0,0,0,0,0,"136,504",0,"136,504",0,"134,504","134,504","2,000",0,"2,000",0,11,"11,306",0,"11,306",0,"6,736","18,042",Apr 2014 - Mar 2015,Received,fy3,Sengkang South CCC Community Development and Welfare Fund,0,0,0,0,0,Community,0,"56,000","56,000",0,0,0,0,1,0,0,"56,001",Central,S99CC1387B
0,"845,444",0,0,0,0,0,"845,444",0,"845,444",0,"843,444","843,444","2,000",0,"2,000","234,800",11,"276,570",0,"276,570",0,"6,653","283,223",Apr 2016 - Mar 2017,Received,fy1,SENGKANG WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,0,0,0,0,Community,"7,100","59,600","66,700",0,0,0,0,0,"162,774","5,326","234,800",Central,T06CC1994D
0,"893,117",0,0,0,0,0,"893,117",0,"893,117",0,"891,867","891,867","1,250",0,"1,250",0,11,"245,667",0,"245,667","107,295","3,000","355,962",Apr 2015 - Mar 2016,Received,fy2,SENGKANG WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,0,62.2,0,0,0,Community,"258,422","229,500","487,922",0,0,0,"84,100",0,0,0,"572,022",Central,T06CC1994D
